raceId,weather
1,Sunny with temperatures reaching up to 27 °C (81 °F)[2]
2,"Dry start, with heavy rain and thunderstorm/monsoon later"
3,Rain
4,Sunny
5,"Warm, Sunny"
6,Sunny
7,Sunny
8,"Dry, overcast"
9,Sunny and overcast
10,Sunny25 °C (77 °F)[3]
11,Hot and dry with temperatures reaching up to 33 °C (91 °F)[1]
12,Clear but Mild
13,Mainly sunny
14,Hot and Dry
15,"Sunny, Dry"
16,Partially cloudy and dry
17,Dry
18,"Clear, dry, air temperature of 39 °C (102 °F)."
19,"Sunny, partly cloudy"
20,Dry
21,Sunny
22,Sunny with temperatures reaching up to 17 °C (63 °F)[3]
23,"Wet, drying later."
24,Hot with temperatures approaching 31 °C (88 °F); wind speeds up to 8.9 kilometres per hour (5.5 mph)[1]
25,Dry at first; light rain in the final stages
26,"Rain, later drying"
27,"Cloudy, later sunny[1]"
28,"Sunny; Air 30–31 °C (86–88 °F), Track 40–43 °C (104–109 °F)"
29,Sunny
30,"Cloudy, rain in last 3 laps"
31,"Heavy rain, dry towards the end"
32,"Dry, Air Temp: 28 °C (82 °F), Wind Speed: 2.2 metres per second (7.2 ft/s), Humidity: 79%"
33,Cloudy with temperatures reaching up to 17 °C (63 °F)[4]
34,Dry
35,"Rain at beginning and end, otherwise drying"
36,Clear with temperatures reaching up to 21 °C (70 °F)[1]
37,Sunny[1]
38,"Sunny, dry, windy"
39,Sunny and warm
40,"Cloudy, air temp 24–27 °C (75–81 °F), track temp 33–42 °C (91–108 °F)"
41,Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 5.8 kilometres per hour (3.6 mph)[1]
42,Warm (33C/91F) and clear
43,Cloudy
44,Dry and sunny
45,Heavy Rain on Lap 1. Drying track at restart. Light Rain before the finish.
46,"Sunny, temperatures reaching up to 27 °C (81 °F)[4]"
47,Sunny
48,Sunny
49,"Partly cloudy, mild and dry"
50,Very heavy rain
51,Intermittent light rain
52,"37 °C (Air), 63 °C (Track)"
53,"Fine, Dry and HotAir Temp 23 °C (73 °F)[1]Track Temp 40 °C (104 °F)[1] dropping to 34 °C (93 °F)"
54,"Fine, Air Temp: 33°C, Wind Speed: 1.5 m/s, Humidity: 61%"
55,Cloudy with sunny breaks. Air temperature 20°C
56,Sunny
57,Sunny
58,Sunny
59,Fine
60,Sunny
61,Sunny and warm with temperatures reaching up to 28 °C (82 °F); wind speeds up to 4.1 kilometres per hour (2.5 mph)[1]
62,"Sunny, hot"
63,"Sunny, warm"
64,"Sunny, warm"
65,Cool and rainy with temperatures reaching up to 20 °C (68 °F)[4]
66,"Sunny, hot"
67,Warm and sunny with temperatures reaching up to 27 °C (81 °F)[1]
68,"Cloudy, wet track that progressively dried up.Rainy during the last few laps."
69,Fine
70,Temperatures reaching up to 23 °C (73 °F)[1]
71,"Cool, partly cloudy"
72,"Fine, Air: 34–36 °C (93–97 °F) and Track: 44–50 °C (111–122 °F)"
73,"Sunny, 42 °C (108 °F)[1]"
74,Warm and cloudy
75,"Sunny, warm"
76,Fine
77,"Partly cloudy, hot and dry"
78,Cloudy and hot with temperatures approaching 32.5 °C (90.5 °F)Wind speeds up to 5.1 km/h (3.2 mph)[1]Track 43–47 °C (109–117 °F)
79,"Cloudy, temperatures up to 25.0 °C (77.0 °F); wind speeds up to 17.9 km/h (11.1 mph)[4]"
80,"Sunny, Air: 32 °C (90 °F), Track 53 °C (127 °F)"
81,"Sunny, Air: 27 °C (81 °F), Track 47 °C (117 °F)"
82,"Cloudy with drizzle, but staying dry during the race. Air temp: 24°C."
83,"Sunny, Air: 34 °C (93 °F), Track 45 °C (113 °F)"
84,Sunny; 30°C Air; 45°C Track
85,Sunny
86,Wet and dry
87,"Partially cloudy and dry, Air: 23 °C (73 °F), Track 22 °C (72 °F)"
88,Partially cloudy and dry with temperatures reaching up to 25 °C (77 °F)[1]
89,Sunny
90,Dry and cloudyAir temperature 20 °C (68 °F)
91,"Dry, light rain at the startAir Temp 34 °C (93 °F)"
92,"Warm, dry and overcast"
93,"Clear, air temp: 22°C"
94,Clear
95,Dry and sunny
96,"Cloudy at start, sunny later"
97,Clear and mild with temperatures approaching 25.0 °C (77.0 °F)Wind speeds up to 5.8 km/h (3.6 mph)[1]Track 35 °C (95 °F)[2]
98,Fine with temperatures reaching up to 24 °C (75 °F);Wind speeds up to 20.55 km/h (12.77 mph)[2]
99,Sunny
100,"Cloudy, Air: 17 °C (63 °F), Track 27 °C (81 °F)[2]"
101,Sunny
102,"Warm, dry and sunny, Air: 26 °C (79 °F), Track 42 °C (108 °F)"
103,Dry with temperatures reaching up to 15 °C (59 °F)[1]
104,"Wet track at the start, dry later on"
105,Sunny with temperatures reaching up to 27 °C (81 °F)[1]
106,Sunny
107,Dry/Wet
108,"Damp at beginning, dry later, cloudy, mild"
109,"Fine, air temperature 34°C (93°F)"
110,Rainy: 20 °C (68 °F)
111,Mostly cloudy with maximum ambient temperatures reaching 13 degrees during the day.
112,Clear
113,Mostly cloudy with isolated showers in the area
114,"Sunny at start, cloudy later"
115,Partly cloudy and mild with temperatures reaching a maximum of 19.3 °C (66.7 °F)Wind speeds up to 12.9 km/h (8.0 mph)[1]Track 32 °C (90 °F)[2]
116,Mostly cloudy with maximum ambient temperatures reaching 25 degrees celsius during the day.
117,"Cloudy, Air: 26 °C (79 °F), Track 35 °C (95 °F)"
118,"Sunny at start, cloudy later, Air: 24 °C (75 °F), Track 29 °C (84 °F)[1]"
119,Fine
120,"Warm, dry and sunny, 28 °C (82 °F)"
121,Sunny
122,Scattered showers with temperatures up to 20.6 °C (69.1 °F);Wind speeds up to 25.93 km/h (16.11 mph)[4]
123,"Cloudy, Air: 22 °C (72 °F), Track 25 °C (77 °F)"
124,"Cloudy at start, clearing to sunny skies."
125,"Partially cloudy, hot, and dry"
126,"Clear, Air Temp: 30°C"
127,"Scattered thunderstorms, but remaining dry. Air Temp: 18°C"
128,"Clear, Air Temp: 20°C"
129,"Clear, air temperature: 20°C"
130,Fine; air temperature 22 °C (72 °F)
131,Mostly fine and humid with temperatures reaching a maximum of 24.1 °C (75.4 °F)Wind speeds up to 8 km/h (5.0 mph)[1]
132,"Mainly Fine, Air Temp: 18°C"
133,"Dry/Wet, Air Temp: 21°C"
134,"Warm and sunny, Air Temp: 25°C"
135,"Fine, Air Temp: 28°C"
136,"Partially cloudy, hot and sunny, Air Temp: 28 °C (82 °F)[4]"
137,"Cloudy, Air: 17 °C (63 °F), Track 25 °C (77 °F)[1]"
138,"Sunny, hot, dry 23°C"
139,Sunny with temperatures reaching up to 26.7 °C (80.1 °F);Wind speeds approaching a maximum of 18.70 km/h (11.62 mph)[3]Track 34 °C (93 °F)
140,"Sunny, Air: 26 °C (79 °F), Track 30 °C (86 °F)"
141,"Cloudy, sunny later"
142,"Rain and Thunderstorms at start, dry later; Air Temp at start: 32 °C (90 °F)"
143,"Dry first, rain and thunderstorms later"
144,"Sunny. Air Temp: 14 °C (57 °F), Track 26 °C (79 °F)"
145,"Overcast, Mild, Dry, Air Temp: 18°C"
146,"Sunny, Air: 18 to 19 °C (64 to 66 °F), Track 18 to 32 °C (64 to 90 °F)"
147,"Warm and Sunny, Air Temp: 23 °C (73 °F), Track 36 to 39 °C (97 to 102 °F)"
148,Sunny
149,"Sunny, mild, dry, Air Temp: 21°C"
150,Sunny
151,"Partially cloudy, mild, dry, Air Temp: 16 °C (61 °F), Track 27 °C (81 °F)"
152,"Partially cloudy, very hot, dry"
153,"Hot, dry and partially cloudy"
154,"Overcast, mild, dry, Air Temp: 12 to 16 °C (54 to 61 °F)"
155,"Sunny, partly cloudy, Air: 19 to 20 °C (66 to 68 °F), Track 26 °C (79 °F)"
156,"Sunny, cool, Air: 19–22 °C (66–72 °F);Track 27–28 °C (81–82 °F)"
157,"Cloudy, mild, dry, air temp: 24°C"
158,"Sunny,[3] Air Temp: 20 °C"
159,"Sunny with some clouds, Air: 22 °C (72 °F), Track: 35 °C (95 °F)"
160,"Overcast, mild, dry; 16 °C (61 °F)"
161,"Sunny, mild, dry, Air Temp: 10 °C (50 °F)"
162,"Sunny, Mild, Dry"
163,"Dry at first, rain later on, Air: 11 °C (52 °F), Track: 12 °C (54 °F)"
164,Sunny
165,"Cloudy and raining; Air 17 °C (63 °F),Track 21 °C (70 °F)"
166,"Sunny, dry, Air Temp: 27°C"
167,"Partially cloudy, dry"
168,Dry/Wet
169,"Partially cloudy, very hot, dry"
170,"Wet at start, drying, Air & track temperature; 15 °C (59 °F)"
171,Sunny with temperatures reaching up to 29 °C (84 °F)[4]
172,"Cloudy, drying, Air 12 °C (54 °F);Track 14 °C (57 °F)"
173,Dry/wet
174,"Overcast, Very hot, Dry"
175,Sunny and dry with temperatures reaching up to 19 °C (66 °F)[1]
176,"Sunny, hot, dry 25 °C (77 °F)[1]"
177,"Sunny, mild, dry, 23 °C"
178,"Sunny, hot, dry"
179,"Cloudy, hot, dry 22 °C (72 °F)[2]"
180,Hot with temperatures approaching 31.0 °C (87.8 °F)Wind speeds up to 5.1 km/h (3.2 mph)[1]Track 41–43 °C (106–109 °F)
181,"Overcast, mild, dry at first, rain later on"
182,"Sunny, mild, dry"
183,"Overcast, mild, dry"
184,"Partially cloudy, very hot, dry"
185,"Partially cloudy, hot, dry, Air: 25 °C (77 °F), Track 37 °C (99 °F)"
186,"Partially cloudy, mild, dry"
187,Hot and dry with temperatures reaching up to 30 °C (86 °F)[1]
188,Wet/Dry
189,"Cloudy, hot, dry"
190,"Overcast, mild, dry"
191,"Clear with maximum temperatures reaching 24 degrees at the start, increasing to 30 degrees by the end of the race."
192,"Mostly cloudy, 31 °C (88 °F)"
193,Cloudy with variable levels of dryness; temperatures reaching up to 19 °C (66 °F)[2]
194,"Sunny, 25 °C"
195,Sunny and warm
196,Hot and sunny with temperatures reaching up to 22 °C (72 °F)[1]
197,Cool and overcast with air temperatures reaching up to 16.0 °C (60.8 °F)Wind speeds up to 2.9 km/h (1.8 mph) reported[1]
198,"Sunny, warm"
199,"Rain, Wet Track"
200,Sunny
201,Cloudy but dry
202,"Cloudy, hot, dry; 30 °C (86 °F)"
203,Cold and wet with rain becoming heavier
204,Sunny
205,"Cloudy, cold, dry"
206,Fine
207,"Partly Cloudy, Dry"
208,Overcast and dry with temperatures reaching up to 23 °C (73 °F)[1]
209,"Partially cloudy and dry, with temperatures reaching up to 21 °C (70 °F)[1]"
210,"Cloudy, Dry, 17 °C"
211,"Overcast, cold and rain, air temperature 11 °C (52 °F)"
212,Clear
